,Year,country,Loss,Annual Mean Precipitation,Annual Mean Surface Air Temperature,EPI,performance
0,2001,Cambodia,28491,1906.76,27.28,,
1,2002,Cambodia,54862,1817.18,27.38,,
2,2003,Cambodia,56840,1776.92,27.3,,
3,2004,Cambodia,79251,1686.93,27.29,,
4,2005,Cambodia,64649,1722.67,27.43,,
5,2006,Cambodia,80507,2030.42,27.42,80.4,Very High
6,2007,Cambodia,77676,2215.91,27.25,80.4,Very High
7,2008,Cambodia,83500,1773.94,26.85,53.8,Medium
8,2009,Cambodia,121021,1859.94,27.24,53.8,Medium
9,2010,Cambodia,237882,1744.49,27.8,41.7,Medium
10,2011,Cambodia,192155,2097.42,26.82,41.7,Medium
11,2012,Cambodia,195569,1817.68,27.7,,
12,2013,Cambodia,190097,2098.12,27.29,,
13,2014,Cambodia,161797,1848.17,27.41,35.44,Low
14,2015,Cambodia,132701,1658.74,27.8,35.44,Low
15,2016,Cambodia,182418,1738.23,27.97,51.24,Medium
16,2017,Cambodia,118333,2032.33,27.45,51.24,Medium
17,2018,Cambodia,113205,1770.71,27.47,43.23,Medium
18,2019,Cambodia,143307,1710.63,27.99,43.23,Medium
19,2020,Cambodia,143488,1812.06,27.89,33.6,Low
20,2001,Indonesia,744088,2864.07,25.93,,
21,2002,Indonesia,855276,2584.74,26.06,,
22,2003,Indonesia,544810,2876.96,25.92,,
23,2004,Indonesia,1289043,2627.12,25.94,,
24,2005,Indonesia,1182442,2731.2,25.95,,
25,2006,Indonesia,1433150,2641.45,25.84,60.7,High
26,2007,Indonesia,1387625,2855.85,25.86,60.7,High
27,2008,Indonesia,1396251,2997.08,25.73,66.2,High
28,2009,Indonesia,1944963,2761.9,26,66.2,High
29,2010,Indonesia,1279332,3275.81,26.1,44.6,Medium
30,2011,Indonesia,1543629,2898.47,25.9,44.6,Medium
31,2012,Indonesia,2260260,2853.46,26.01,,
32,2013,Indonesia,1139299,2897.18,26.07,,
33,2014,Indonesia,1894361,2590.38,26.04,44.36,Medium
34,2015,Indonesia,1746470,2471.77,26.13,44.36,Medium
35,2016,Indonesia,2422071,2945.2,26.24,65.85,High
36,2017,Indonesia,1300719,3014.67,26.05,65.85,High
37,2018,Indonesia,1218732,2811.7,26.06,46.92,Medium
38,2019,Indonesia,1176884,2500.53,26.21,46.92,Medium
39,2020,Indonesia,961588,2982.69,26.2,37.8,Low
40,2001,Malaysia,332498,2965.96,26.39,,
41,2002,Malaysia,312554,2617.4,26.57,,
42,2003,Malaysia,183911,3103.65,26.37,,
43,2004,Malaysia,351802,2779.24,26.33,,
44,2005,Malaysia,375420,2779.18,26.36,,
